8 36 48;0.1146,0.957,-55.084
18 36 48;0.1094,0.955,-51.378
36 48;0.1146,0.880,-50.513
8 18 48;0.1146,0.815,-46.990
3 16 42;0.2865,0.671,-35.932
9 18 48;0.0990,0.760,-35.667
8 9 48;0.0990,0.760,-35.667
18 48;0.1146,0.595,-35.508
2 9 48;0.0833,0.941,-35.492
8 48;0.1198,0.489,-32.122
3 12 42;0.2604,0.685,-31.576
12 16 42;0.2500,0.696,-30.535
9 30 48;0.0677,1.000,-29.916
16 42;0.3021,0.574,-27.544
24 30 48;0.0625,1.000,-27.288
9 48;0.1042,0.526,-27.203
24 34 47;0.0417,0.667,-25.103
3 34 42;0.3021,0.532,-21.995
3 42;0.3125,0.504,-20.199
2 24 48;0.0521,0.909,-19.912
7 29 43;0.1510,0.784,-19.598
2 12 29 43;0.1250,0.857,-19.283
29 34 43;0.1719,0.717,-18.666
24 38 47;0.0417,0.364,-18.632
2 7 17 43;0.1042,0.909,-18.020
12 42;0.2969,0.504,-17.507
3 20 24 47;0.0260,1.000,-17.422
24 47;0.0417,0.320,-17.414
7 17 43;0.1510,0.744,-17.353
2 17 43;0.1198,0.821,-16.712
2 29 43;0.1302,0.781,-16.379
8 34 38 47;0.0365,0.412,-16.260
29 43;0.1719,0.673,-15.966
17 43;0.1771,0.654,-15.364
24 48;0.0677,0.520,-15.245
2 7 12 28 43;0.0990,0.864,-15.187
2 7 28 43;0.1042,0.833,-14.817
2 34 43;0.1562,0.682,-14.640
2 12 43;0.1406,0.711,-14.313
2 7 43;0.1302,0.735,-14.228
8 34 47;0.0365,0.304,-13.756
6 30 34 42;0.0729,0.933,-13.331
2 28 43;0.1250,0.727,-13.242
21 28 30 34 42;0.0781,0.882,-12.658
7 12 30 44;0.0625,0.279,-12.489
17 33 46;0.0208,0.800,-11.980
6 30 42;0.0729,0.875,-11.579
3 33 46;0.0260,0.455,-11.368
21 28 30 42;0.0781,0.833,-11.191
6 21 42;0.0625,0.923,-11.096
7 28 43;0.1719,0.589,-11.033
2 30 48;0.0573,0.458,-10.982
6 28 34 42;0.0833,0.800,-10.947
2 12 30 44;0.0312,0.600,-10.741
2 22 48;0.0417,0.615,-10.685
7 30 44;0.0625,0.235,-10.353
8 38 47;0.0365,0.194,-10.297
12 30 44;0.0677,0.210,-10.187
7 9 46;0.0208,0.571,-10.068
3 10 46;0.0156,1.000,-9.940
11 20 32 38 47;0.0156,1.000,-9.940
3 8 20 32 47;0.0156,1.000,-9.940
6 28 42;0.0833,0.762,-9.836
6 34 42;0.0885,0.739,-9.776
2 25 48;0.0312,0.750,-9.654
3 20 32 38 47;0.0208,0.500,-9.393
20 32 34 38 47;0.0208,0.500,-9.393
2 48;0.0885,0.274,-9.276
30 34 42;0.1875,0.529,-9.142
7 43;0.2708,0.464,-9.079
6 42;0.0885,0.708,-8.868
