23 90;0.4668,1.000,-4563.957
22 89;0.5183,0.972,-4563.957
21 26 63 90;0.3920,0.951,-2639.037
21 25 26 66 90;0.3876,0.955,-2621.411
21 25 26 90;0.3897,0.951,-2608.138
28 47 89;0.4164,0.942,-2406.790
21 26 90;0.3920,0.899,-2213.714
28 51 89;0.3916,0.936,-2109.223
26 46 90;0.2734,1.000,-1879.622
46 66 90;0.2690,1.000,-1839.890
21 25 80 90;0.3083,0.956,-1821.863
21 63 80 90;0.3083,0.956,-1821.863
26 50 90;0.2654,1.000,-1806.729
50 66 90;0.2654,1.000,-1806.729
21 80 90;0.3083,0.922,-1601.860
28 71 89;0.3637,0.893,-1563.619
46 90;0.2734,0.940,-1442.979
21 25 66 90;0.4005,0.771,-1424.576
21 63 66 90;0.3994,0.770,-1412.494
26 29 76 90;0.2178,1.000,-1406.133
26 66 76 90;0.2178,1.000,-1406.133
26 29 68 90;0.2178,1.000,-1406.133
26 68 80 90;0.2178,1.000,-1406.133
26 66 68 90;0.2178,1.000,-1406.133
32 90;0.2169,1.000,-1399.622
40 76 90;0.2141,1.000,-1376.932
29 40 68 90;0.2141,1.000,-1376.932
21 29 40 90;0.2141,1.000,-1376.932
26 29 40 90;0.2141,1.000,-1376.932
40 68 80 90;0.2141,1.000,-1376.932
26 40 68 90;0.2141,1.000,-1376.932
50 90;0.2654,0.936,-1365.609
26 76 80 90;0.2178,0.992,-1338.137
26 29 90;0.2621,0.935,-1333.855
20 88 89;0.2230,1.000,-1289.908
40 41 88 89;0.2230,1.000,-1289.908
40 71 88 89;0.2230,1.000,-1289.908
41 75 90;0.2013,1.000,-1278.205
28 75 90;0.2013,1.000,-1278.205
29 76 90;0.2199,0.976,-1257.778
66 76 90;0.2199,0.976,-1257.778
20 28 89;0.3266,0.882,-1253.748
29 68 90;0.2188,0.976,-1249.303
21 68 76 90;0.2188,0.976,-1249.303
68 80 90;0.2178,0.976,-1240.851
28 40 89;0.3071,0.898,-1225.045
21 66 90;0.4005,0.737,-1212.758
76 80 90;0.2178,0.968,-1199.764
29 90;0.2760,0.887,-1194.988
28 89;0.4832,0.701,-1194.988
20 47 89;0.3380,0.851,-1157.649
21 63 90;0.4038,0.721,-1139.041
47 71 89;0.3678,0.816,-1134.426
21 25 90;0.4025,0.720,-1126.480
71 89;0.3872,0.793,-1118.667
75 90;0.2013,0.970,-1097.922
40 41 47 51 89;0.2230,0.962,-1048.469
26 39 41 66 90;0.1699,1.000,-1045.467
70 90;0.1619,1.000,-989.147
39 41 66 90;0.1827,0.972,-981.887
21 54 90;0.1602,1.000,-976.646
20 89;0.3380,0.815,-970.514
21 90;0.4049,0.692,-970.514
26 39 41 90;0.1789,0.970,-951.792
39 41 90;0.1918,0.947,-935.749
25 26 80 90;0.3444,0.749,-934.105
26 63 80 90;0.3444,0.749,-934.105
47 89;0.4485,0.703,-933.070
26 68 90;0.2178,0.900,-910.403
26 41 51 88 89;0.2116,0.945,-909.924
40 41 51 89;0.2230,0.926,-892.452
7 40 89;0.1609,1.000,-877.754
26 76 90;0.2221,0.883,-868.843
40 73 89;0.1593,1.000,-868.379
10 26 40 90;0.1425,1.000,-854.955
25 80 90;0.3503,0.726,-852.460
63 80 90;0.3503,0.726,-852.460
68 76 90;0.2188,0.882,-848.252
26 80 90;0.3444,0.730,-841.860
40 72 89;0.1536,1.000,-832.829
41 51 88 89;0.2230,0.903,-802.216
80 90;0.3503,0.709,-767.375
73 89;0.2146,0.884,-702.369
27 82 89;0.1308,1.000,-695.118
21 60 82 89;0.1308,1.000,-695.118
21 55 82 89;0.1308,1.000,-695.118
40 41 89;0.2230,0.865,-673.439
51 89;0.4179,0.687,-673.368
72 89;0.2039,0.879,-641.696
26 63 90;0.4678,0.574,-641.306
25 26 66 90;0.4544,0.589,-632.853
17 40 68 90;0.1079,1.000,-627.812
17 66 68 90;0.1079,1.000,-627.812
54 76 90;0.1072,1.000,-623.466
54 68 90;0.1072,1.000,-623.466
59 76 90;0.1071,1.000,-622.598
59 68 90;0.1071,1.000,-622.598
9 40 68 90;0.1063,1.000,-617.391
52 66 90;0.1057,1.000,-613.924
25 26 90;0.4655,0.573,-608.080
52 90;0.1101,0.983,-580.709
58 89;0.1076,1.000,-561.313
21 43 89;0.1076,1.000,-561.313
9 66 68 90;0.1093,0.977,-558.931
40 81 89;0.1070,1.000,-557.435
27 40 89;0.1068,1.000,-556.660
53 89;0.1044,1.000,-542.738
27 55 89;0.1474,0.920,-525.137
27 63 89;0.1474,0.920,-525.137
27 89;0.1474,0.914,-509.951
26 90;0.4678,0.558,-509.951
76 90;0.2243,0.762,-499.525
77 89;0.0963,1.000,-497.507
43 68 89;0.0955,1.000,-492.941
40 43 89;0.0955,1.000,-492.941
68 82 89;0.0955,1.000,-492.941
21 40 82 89;0.0955,1.000,-492.941
66 85 90;0.1234,0.913,-484.003
17 68 90;0.1079,0.947,-482.343
7 28 39 66 90;0.0800,1.000,-454.670
14 28 39 66 90;0.0796,1.000,-452.186
42 60 89;0.0874,1.000,-448.371
